=== Graph Execution Profile ===
Operation      Time (ms)   Output Shape        Backend
TRANSPOSE      5.289       [1,64,160,160]       values=[5.3242,7.3398,6.4609,6.2265,6.1093,...]
SIGMOID        1.710       [1,64,160,160]       values=[0.9951,0.9995,0.9985,0.9980,0.9975,...]
MULTIPLY       1.850       [1,64,160,160]       values=[5.2968,7.3359,6.4531,6.2148,6.0937,...]
IM2COL         10.344      [1,6400,576]         values=[0.0000,0.0000,0.0000,0.0000,5.2968,...]
RESHAPE        0.026       [64,576]             values=[0.0018,-0.022,0.0137,-0.003,-0.024,...]
MATMUL_ND      12.010      [1,6400,64]          values=[2.4511,-0.362,-0.372,-0.848,-2.931,...]
ADD            3.687       [1,6400,64]          values=[3.7578,0.8994,0.1752,-0.742,-2.066,...]
RESHAPE        0.147       [1,80,80,64]         values=[3.7578,0.8994,0.1752,-0.742,-2.066,...]
TRANSPOSE      1.096       [1,64,80,80]         values=[3.7578,2.1660,2.1445,2.1289,2.1855,...]
SIGMOID        0.282       [1,64,80,80]         values=[0.9770,0.8969,0.8950,0.8935,0.8989,...]
MULTIPLY       0.337       [1,64,80,80]         values=[3.6718,1.9423,1.9189,1.9023,1.9648,...]
IM2COL         2.287       [1,6400,64]          values=[3.6718,0.6396,0.0953,-0.239,-0.232,...]
RESHAPE        0.002       [64,64]              values=[-0.049,-0.157,0.0037,0.0609,0.0110,...]
MATMUL_ND      2.748       [1,6400,64]          values=[-0.210,-0.588,0.1138,-0.025,-2.714,...]
ADD            3.666       [1,6400,64]          values=[2.9238,0.1684,1.1660,0.6040,-2.511,...]
RESHAPE        0.152       [1,80,80,64]         values=[2.9238,0.1684,1.1660,0.6040,-2.511,...]
TRANSPOSE      1.990       [1,64,80,80]         values=[2.9238,1.9580,1.8613,1.8330,1.7958,...]
SIGMOID        0.439       [1,64,80,80]         values=[0.9492,0.8764,0.8652,0.8623,0.8574,...]
MULTIPLY       0.290       [1,64,80,80]         values=[2.7753,1.7158,1.6103,1.5810,1.5400,...]
SLICE          0.093       [1,32,80,80]         values=[2.7753,1.7158,1.6103,1.5810,1.5400,...]
SLICE          0.084       [1,32,80,80]         values=[-0.235,-0.038,-0.068,-0.032,0.0136,...]
IM2COL         5.158       [1,6400,288]         values=[0.0000,0.0000,0.0000,0.0000,-0.235,...]
RESHAPE        0.005       [16,288]             values=[0.0040,0.0146,-0.014,-0.061,-0.001,...]
MATMUL_ND      1.871       [1,6400,16]          values=[-0.519,-0.671,-1.933,0.3281,-0.553,...]
ADD            0.948       [1,6400,16]          values=[0.9833,1.1562,0.4921,2.1953,0.4072,...]
RESHAPE        0.034       [1,80,80,16]         values=[0.9833,1.1562,0.4921,2.1953,0.4072,...]
TRANSPOSE      0.493       [1,16,80,80]         values=[0.9833,2.0078,1.2109,0.9931,0.8876,...]
SIGMOID        0.118       [1,16,80,80]         values=[0.7275,0.8818,0.7705,0.7294,0.7084,...]
MULTIPLY       0.052       [1,16,80,80]         values=[0.7153,1.7705,0.9331,0.7246,0.6289,...]
IM2COL         2.297       [1,6400,144]         values=[0.0000,0.0000,0.0000,0.0000,0.7153,...]
RESHAPE        0.004       [32,144]             values=[-0.053,0.0247,-0.027,-0.037,0.0080,...]
MATMUL_ND      2.073       [1,6400,32]          values=[0.6455,1.2460,-0.075,2.7812,-0.263,...]
ADD            1.864       [1,6400,32]          values=[1.2636,3.2265,0.7436,1.3496,0.7216,...]
RESHAPE        0.096       [1,80,80,32]         values=[1.2636,3.2265,0.7436,1.3496,0.7216,...]
TRANSPOSE      0.980       [1,32,80,80]         values=[1.2636,1.5078,1.4619,1.3964,1.3896,...]
SIGMOID        0.224       [1,32,80,80]         values=[0.7797,0.8188,0.8120,0.8017,0.8002,...]
MULTIPLY       0.148       [1,32,80,80]         values=[0.9853,1.2343,1.1875,1.1201,1.1123,...]
ADD            0.172       [1,32,80,80]         values=[0.7500,1.1962,1.1191,1.0878,1.1259,...]
CONCAT         0.196       [1,64,80,80]         values=[2.7753,1.7158,1.6103,1.5810,1.5400,...] weights=[-0.235,-0.038,-0.068,-0.032,0.0136,...]
CONCAT         0.235       [1,96,80,80]         values=[2.7753,1.7158,1.6103,1.5810,1.5400,...] weights=[0.7500,1.1962,1.1191,1.0878,1.1259,...]
IM2COL         3.375       [1,6400,96]          values=[2.7753,0.0913,0.8886,0.3903,-0.188,...]
RESHAPE        0.007       [128,96]             values=[0.1264,-0.003,-0.090,-0.011,-0.008,...]
MATMUL_ND      6.483       [1,6400,128]         values=[-5.312,-1.291,0.5205,-0.815,-1.171,...]
ADD            7.257       [1,6400,128]         values=[-1.000,-0.973,-0.389,-0.238,-1.391,...]
RESHAPE        0.285       [1,80,80,128]        values=[-1.000,-0.973,-0.389,-0.238,-1.391,...]
TRANSPOSE      2.728       [1,128,80,80]        values=[-1.000,-0.597,-0.914,-0.769,-0.632,...]
SIGMOID        0.514       [1,128,80,80]        values=[0.2690,0.3549,0.2861,0.3166,0.3469,...]
MULTIPLY       0.683       [1,128,80,80]        values=[-0.269,-0.212,-0.261,-0.243,-0.219,...]
IM2COL         4.606       [1,1600,1152]        values=[0.0000,0.0000,0.0000,0.0000,-0.269,...]
RESHAPE        0.108       [128,1152]           values=[-0.004,0.0111,-0.013,0.0535,0.0457,...]
MATMUL_ND      10.902      [1,1600,128]         values=[1.0136,1.5878,0.9560,0.7309,0.1013,...]
ADD            1.822       [1,1600,128]         values=[-0.368,-0.270,-1.186,0.5117,-0.983,...]
RESHAPE        0.085       [1,40,40,128]        values=[-0.368,-0.270,-1.186,0.5117,-0.983,...]
TRANSPOSE      0.542       [1,128,40,40]        values=[-0.368,-1.166,-1.247,-0.999,-0.929,...]
SIGMOID        0.150       [1,128,40,40]        values=[0.4089,0.2374,0.2232,0.2690,0.2832,...]
MULTIPLY       0.119       [1,128,40,40]        values=[-0.150,-0.277,-0.278,-0.268,-0.263,...]
IM2COL         0.980       [1,1600,128]         values=[-0.150,-0.117,-0.277,0.3198,-0.267,...]
RESHAPE        0.008       [128,128]            values=[0.0160,-0.037,-0.130,0.1685,0.0657,...]
MATMUL_ND      1.895       [1,1600,128]         values=[0.8017,2.5019,0.2814,0.7143,0.9609,...]
ADD            1.811       [1,1600,128]         values=[2.3027,1.6914,-0.915,-0.442,-0.079,...]
RESHAPE        0.058       [1,40,40,128]        values=[2.3027,1.6914,-0.915,-0.442,-0.079,...]
TRANSPOSE      1.067       [1,128,40,40]        values=[2.3027,1.7138,1.3535,1.3945,1.2705,...]
SIGMOID        0.161       [1,128,40,40]        values=[0.9091,0.8471,0.7949,0.8012,0.7807,...]
MULTIPLY       0.154       [1,128,40,40]        values=[2.0937,1.4521,1.0761,1.1171,0.9921,...]
SLICE          0.056       [1,64,40,40]         values=[2.0937,1.4521,1.0761,1.1171,0.9921,...]
SLICE          0.047       [1,64,40,40]         values=[-0.227,-0.167,-0.179,-0.146,-0.154,...]
IM2COL         0.506       [1,1600,64]          values=[-0.227,-0.202,-0.276,-0.075,0.6762,...]
RESHAPE        0.001       [32,64]              values=[-0.030,0.1416,0.4389,-0.242,-0.008,...]
MATMUL_ND      0.351       [1,1600,32]          values=[0.1326,0.7758,0.7617,-0.160,0.6499,...]
ADD            0.463       [1,1600,32]          values=[0.3725,0.5488,0.9697,0.7607,0.6469,...]
RESHAPE        0.021       [1,40,40,32]         values=[0.3725,0.5488,0.9697,0.7607,0.6469,...]
TRANSPOSE      0.164       [1,32,40,40]         values=[0.3725,-0.157,-0.457,-0.495,-0.562,...]
IM2COL         0.490       [1,1600,64]          values=[-0.227,-0.202,-0.276,-0.075,0.6762,...]
RESHAPE        0.001       [32,64]              values=[0.0751,0.1427,0.0813,0.0035,-0.087,...]
MATMUL_ND      0.350       [1,1600,32]          values=[-2.306,-0.473,-0.375,1.9951,-0.670,...]
ADD            0.464       [1,1600,32]          values=[-1.512,-0.467,-1.688,0.5634,-1.425,...]
RESHAPE        0.012       [1,40,40,32]         values=[-1.512,-0.467,-1.688,0.5634,-1.425,...]
TRANSPOSE      0.170       [1,32,40,40]         values=[-1.512,-0.362,-0.248,-0.250,-0.161,...]
SIGMOID        0.067       [1,32,40,40]         values=[0.5922,0.4606,0.3876,0.3786,0.3627,...]
SIGMOID        0.059       [1,32,40,40]         values=[0.1805,0.4104,0.4382,0.4377,0.4597,...]
MULTIPLY       0.026       [1,32,40,40]         values=[0.2207,-0.072,-0.177,-0.187,-0.204,...]
MULTIPLY       0.033       [1,32,40,40]         values=[-0.273,-0.148,-0.108,-0.109,-0.074,...]
IM2COL         1.180       [1,1600,288]         values=[0.0000,0.0000,0.0000,0.0000,0.2207,...]
RESHAPE        0.005       [32,288]             values=[0.0440,-0.184,-0.284,0.1024,-0.287,...]
MATMUL_ND      0.871       [1,1600,32]          values=[-0.426,-2.019,0.5302,-1.086,1.1328,...]
ADD            0.464       [1,1600,32]          values=[-1.449,-1.111,0.2143,-1.116,1.0419,...]
RESHAPE        0.024       [1,40,40,32]         values=[-1.449,-1.111,0.2143,-1.116,1.0419,...]
TRANSPOSE      0.254       [1,32,40,40]         values=[-1.449,-1.527,-1.673,-2.074,-2.042,...]
SIGMOID        0.064       [1,32,40,40]         values=[0.1900,0.1783,0.1579,0.1116,0.1147,...]
MULTIPLY       0.030       [1,32,40,40]         values=[-0.275,-0.272,-0.264,-0.231,-0.234,...]
IM2COL         1.131       [1,1600,288]         values=[0.0000,0.0000,0.0000,0.0000,-0.275,...]
RESHAPE        0.004       [32,288]             values=[-0.055,-0.006,0.0396,-0.036,-0.099,...]
MATMUL_ND      0.926       [1,1600,32]          values=[-0.408,0.2148,0.7099,-0.062,0.2685,...]
ADD            0.465       [1,1600,32]          values=[0.7124,-0.187,0.9907,0.9052,1.8017,...]
RESHAPE        0.022       [1,40,40,32]         values=[0.7124,-0.187,0.9907,0.9052,1.8017,...]
TRANSPOSE      0.254       [1,32,40,40]         values=[0.7124,0.6079,0.7275,0.9057,0.8183,...]
SIGMOID        0.064       [1,32,40,40]         values=[0.6708,0.6474,0.6743,0.7119,0.6938,...]
MULTIPLY       0.029       [1,32,40,40]         values=[0.4780,0.3935,0.4904,0.6450,0.5678,...]
ADD            0.041       [1,32,40,40]         values=[0.6987,0.3208,0.3129,0.4575,0.3637,...]
IM2COL         1.144       [1,1600,288]         values=[0.0000,0.0000,0.0000,0.0000,0.6987,...]
RESHAPE        0.003       [32,288]             values=[0.0324,-0.003,-0.062,-0.005,-0.166,...]
MATMUL_ND      0.877       [1,1600,32]          values=[-1.474,-1.527,-0.722,0.1385,-0.402,...]
ADD            0.472       [1,1600,32]          values=[-0.580,-1.807,-0.799,-0.474,0.4462,...]
RESHAPE        0.017       [1,40,40,32]         values=[-0.580,-1.807,-0.799,-0.474,0.4462,...]
TRANSPOSE      0.251       [1,32,40,40]         values=[-0.580,-0.062,0.1665,0.1728,0.0913,...]
SIGMOID        0.064       [1,32,40,40]         values=[0.3588,0.4843,0.5415,0.5429,0.5229,...]
MULTIPLY       0.031       [1,32,40,40]         values=[-0.208,-0.030,0.0901,0.0938,0.0477,...]
IM2COL         1.186       [1,1600,288]         values=[0.0000,0.0000,0.0000,0.0000,-0.208,...]
RESHAPE        0.005       [32,288]             values=[0.0299,0.2141,-0.020,-0.066,0.2844,...]
MATMUL_ND      0.842       [1,1600,32]          values=[1.6865,0.3879,-0.093,0.0104,0.2386,...]
ADD            0.464       [1,1600,32]          values=[0.7026,2.2441,-0.604,2.0039,1.0341,...]
RESHAPE        0.010       [1,40,40,32]         values=[0.7026,2.2441,-0.604,2.0039,1.0341,...]
TRANSPOSE      0.255       [1,32,40,40]         values=[0.7026,0.7104,1.4394,1.5410,1.2636,...]
SIGMOID        0.063       [1,32,40,40]         values=[0.6689,0.6704,0.8085,0.8237,0.7797,...]
MULTIPLY       0.036       [1,32,40,40]         values=[0.4699,0.4763,1.1640,1.2695,0.9853,...]
ADD            0.046       [1,32,40,40]         values=[1.1689,0.7968,1.4765,1.7265,1.3496,...]
CONCAT         0.050       [1,64,40,40]         values=[1.1689,0.7968,1.4765,1.7265,1.3496,...] weights=[-0.273,-0.148,-0.108,-0.109,-0.074,...]
IM2COL         0.520       [1,1600,64]          values=[1.1689,2.2929,1.2119,2.9296,2.7343,...]
RESHAPE        0.002       [64,64]              values=[0.3615,-0.213,0.0971,0.2055,0.3269,...]
MATMUL_ND      0.683       [1,1600,64]          values=[0.8193,-0.217,0.4069,1.9316,2.1152,...]
ADD            0.911       [1,1600,64]          values=[-0.602,-0.788,1.1152,1.4667,-0.527,...]
RESHAPE        0.050       [1,40,40,64]         values=[-0.602,-0.788,1.1152,1.4667,-0.527,...]
TRANSPOSE      0.515       [1,64,40,40]         values=[-0.602,0.3144,0.5087,0.3076,-0.310,...]
SIGMOID        0.118       [1,64,40,40]         values=[0.3537,0.5781,0.6245,0.5761,0.4230,...]
MULTIPLY       0.086       [1,64,40,40]         values=[-0.213,0.1817,0.3176,0.1772,-0.131,...]
CONCAT         0.106       [1,128,40,40]        values=[2.0937,1.4521,1.0761,1.1171,0.9921,...] weights=[-0.227,-0.167,-0.179,-0.146,-0.154,...]
CONCAT         0.136       [1,192,40,40]        values=[2.0937,1.4521,1.0761,1.1171,0.9921,...] weights=[-0.213,0.1817,0.3176,0.1772,-0.131,...]
IM2COL         1.499       [1,1600,192]         values=[2.0937,1.4277,-0.261,-0.173,-0.037,...]
RESHAPE        0.014       [128,192]            values=[0.0294,-0.006,-0.064,0.0349,-0.053,...]
MATMUL_ND      2.512       [1,1600,128]         values=[0.5415,-0.552,-0.358,-0.066,-0.746,...]
ADD            1.820       [1,1600,128]         values=[-0.013,-0.208,-1.723,-0.018,-0.494,...]
RESHAPE        0.055       [1,40,40,128]        values=[-0.013,-0.208,-1.723,-0.018,-0.494,...]
TRANSPOSE      1.004       [1,128,40,40]        values=[-0.013,-0.068,0.0986,0.2070,0.0917,...]
SIGMOID        0.225       [1,128,40,40]        values=[0.4965,0.4829,0.5244,0.5517,0.5229,...]
MULTIPLY       0.144       [1,128,40,40]        values=[-0.006,-0.033,0.0517,0.1142,0.0480,...]
IM2COL         1.155       [1,400,1152]         values=[0.0000,0.0000,0.0000,0.0000,-0.006,...]
RESHAPE        0.155       [256,1152]           values=[-0.027,0.0412,0.0156,0.0155,0.0034,...]
MATMUL_ND      5.629       [1,400,256]          values=[-1.111,0.8613,-0.450,-0.228,0.7675,...]
ADD            0.904       [1,400,256]          values=[-0.289,1.0644,-0.914,-0.693,-0.009,...]
RESHAPE        0.037       [1,20,20,256]        values=[-0.289,1.0644,-0.914,-0.693,-0.009,...]
TRANSPOSE      0.510       [1,256,20,20]        values=[-0.289,-1.900,-1.716,-1.613,-1.755,...]
SIGMOID        0.118       [1,256,20,20]        values=[0.4282,0.1301,0.1523,0.1661,0.1473,...]
MULTIPLY       0.073       [1,256,20,20]        values=[-0.123,-0.247,-0.261,-0.268,-0.258,...]
IM2COL         0.581       [1,400,256]          values=[-0.123,0.7915,-0.261,-0.231,-0.004,...]
RESHAPE        0.036       [256,256]            values=[0.0445,0.2587,-0.111,0.0064,-0.050,...]
MATMUL_ND      1.561       [1,400,256]          values=[-0.803,1.1005,-0.032,-1.871,0.6430,...]
ADD            0.901       [1,400,256]          values=[-1.538,0.3662,-0.181,-1.974,-0.806,...]
RESHAPE        0.049       [1,20,20,256]        values=[-1.538,0.3662,-0.181,-1.974,-0.806,...]
TRANSPOSE      0.512       [1,256,20,20]        values=[-1.538,-1.744,-1.975,-1.893,-2.037,...]
SIGMOID        0.117       [1,256,20,20]        values=[0.1767,0.1488,0.1217,0.1308,0.1153,...]
MULTIPLY       0.059       [1,256,20,20]        values=[-0.271,-0.259,-0.240,-0.247,-0.234,...]
SLICE          0.020       [1,128,20,20]        values=[-0.271,-0.259,-0.240,-0.247,-0.234,...]
SLICE          0.020       [1,128,20,20]        values=[0.7617,0.1146,-0.095,-0.106,-0.106,...]
IM2COL         0.297       [1,400,128]          values=[0.7617,-0.278,-0.278,-0.275,-0.211,...]
RESHAPE        0.003       [64,128]             values=[-0.103,0.0928,-0.060,-0.039,-0.105,...]
MATMUL_ND      0.239       [1,400,64]           values=[-0.479,0.7451,1.0585,0.8505,-0.040,...]
ADD            0.229       [1,400,64]           values=[-1.053,1.4824,0.1616,0.6289,0.1033,...]
RESHAPE        0.011       [1,20,20,64]         values=[-1.053,1.4824,0.1616,0.6289,0.1033,...]
TRANSPOSE      0.138       [1,64,20,20]         values=[-1.053,-0.394,-0.189,-0.329,-0.096,...]
IM2COL         0.254       [1,400,128]          values=[0.7617,-0.278,-0.278,-0.275,-0.211,...]
RESHAPE        0.003       [64,128]             values=[-0.188,-0.230,0.0106,-0.279,0.1258,...]
MATMUL_ND      0.239       [1,400,64]           values=[2.4160,2.2539,0.1977,-0.007,0.0452,...]
ADD            0.228       [1,400,64]           values=[1.8066,2.2226,-0.295,-0.143,-0.889,...]
RESHAPE        0.004       [1,20,20,64]         values=[1.8066,2.2226,-0.295,-0.143,-0.889,...]
TRANSPOSE      0.131       [1,64,20,20]         values=[1.8066,0.6674,0.6069,0.8481,0.5053,...]
SIGMOID        0.037       [1,64,20,20]         values=[0.2585,0.4028,0.4528,0.4184,0.4758,...]
SIGMOID        0.036       [1,64,20,20]         values=[0.8588,0.6611,0.6474,0.7001,0.6235,...]
MULTIPLY       0.022       [1,64,20,20]         values=[-0.272,-0.158,-0.085,-0.137,-0.045,...]
MULTIPLY       0.015       [1,64,20,20]         values=[1.5517,0.4414,0.3930,0.5937,0.3151,...]
IM2COL         0.561       [1,400,576]          values=[0.0000,0.0000,0.0000,0.0000,-0.272,...]
RESHAPE        0.020       [64,576]             values=[-0.053,-0.001,0.0042,-0.054,-0.084,...]
MATMUL_ND      0.793       [1,400,64]           values=[-1.044,-1.215,-1.508,-0.068,-0.026,...]
ADD            0.229       [1,400,64]           values=[-0.425,-0.455,-2.117,-0.876,0.1569,...]
RESHAPE        0.011       [1,20,20,64]         values=[-0.425,-0.455,-2.117,-0.876,0.1569,...]
TRANSPOSE      0.135       [1,64,20,20]         values=[-0.425,0.2197,0.5766,0.8632,1.1357,...]
SIGMOID        0.036       [1,64,20,20]         values=[0.3952,0.5546,0.6401,0.7031,0.7568,...]
MULTIPLY       0.016       [1,64,20,20]         values=[-0.168,0.1218,0.3691,0.6069,0.8593,...]
IM2COL         0.560       [1,400,576]          values=[0.0000,0.0000,0.0000,0.0000,-0.168,...]
RESHAPE        0.019       [64,576]             values=[0.0770,0.0174,-0.062,0.0368,0.0548,...]
MATMUL_ND      0.796       [1,400,64]           values=[0.4118,-0.214,0.1715,-0.684,-1.081,...]
ADD            0.229       [1,400,64]           values=[0.0666,1.4941,0.4936,-1.110,-1.169,...]
RESHAPE        0.009       [1,20,20,64]         values=[0.0666,1.4941,0.4936,-1.110,-1.169,...]
TRANSPOSE      0.133       [1,64,20,20]         values=[0.0666,0.2753,0.1430,0.1015,0.1506,...]
SIGMOID        0.038       [1,64,20,20]         values=[0.5166,0.5683,0.5356,0.5253,0.5375,...]
MULTIPLY       0.017       [1,64,20,20]         values=[0.0344,0.1564,0.0766,0.0533,0.0809,...]
ADD            0.018       [1,64,20,20]         values=[-0.238,-0.002,-0.009,-0.084,0.0350,...]
IM2COL         0.568       [1,400,576]          values=[0.0000,0.0000,0.0000,0.0000,-0.238,...]
RESHAPE        0.020       [64,576]             values=[-0.006,-0.030,0.0238,0.0179,-0.010,...]
MATMUL_ND      0.736       [1,400,64]           values=[0.4353,-0.713,-0.419,-1.715,-1.529,...]
ADD            0.229       [1,400,64]           values=[0.4296,-0.632,-0.099,-1.767,-1.123,...]
RESHAPE        0.008       [1,20,20,64]         values=[0.4296,-0.632,-0.099,-1.767,-1.123,...]
TRANSPOSE      0.132       [1,64,20,20]         values=[0.4296,0.3571,0.5795,0.4411,0.5024,...]
SIGMOID        0.037       [1,64,20,20]         values=[0.6059,0.5883,0.6411,0.6083,0.6230,...]
MULTIPLY       0.013       [1,64,20,20]         values=[0.2602,0.2102,0.3715,0.2683,0.3129,...]
IM2COL         0.573       [1,400,576]          values=[0.0000,0.0000,0.0000,0.0000,0.2602,...]
RESHAPE        0.024       [64,576]             values=[0.0124,0.0132,0.0233,-0.028,-0.032,...]
MATMUL_ND      0.739       [1,400,64]           values=[-0.345,-0.022,-0.008,-0.391,0.1165,...]
ADD            0.236       [1,400,64]           values=[1.1757,1.3134,0.3823,-0.882,1.3007,...]
RESHAPE        0.008       [1,20,20,64]         values=[1.1757,1.3134,0.3823,-0.882,1.3007,...]
TRANSPOSE      0.134       [1,64,20,20]         values=[1.1757,0.9370,1.2871,1.7753,2.0761,...]
SIGMOID        0.037       [1,64,20,20]         values=[0.7641,0.7182,0.7836,0.8549,0.8886,...]
MULTIPLY       0.020       [1,64,20,20]         values=[0.8984,0.6728,1.0087,1.5175,1.8447,...]
ADD            0.022       [1,64,20,20]         values=[0.6601,0.6708,1.0000,1.4335,1.8798,...]
CONCAT         0.026       [1,128,20,20]        values=[0.6601,0.6708,1.0000,1.4335,1.8798,...] weights=[1.5517,0.4414,0.3930,0.5937,0.3151,...]
IM2COL         0.296       [1,400,128]          values=[0.6601,3.4648,0.6210,-0.123,0.7998,...]
RESHAPE        0.009       [128,128]            values=[-0.075,0.0147,-0.021,-0.027,-0.047,...]
MATMUL_ND      0.475       [1,400,128]          values=[-0.657,-0.666,-1.935,1.3310,2.1210,...]
ADD            0.453       [1,400,128]          values=[-0.850,0.4477,-1.313,-0.345,1.3447,...]
RESHAPE        0.012       [1,20,20,128]        values=[-0.850,0.4477,-1.313,-0.345,1.3447,...]
TRANSPOSE      0.260       [1,128,20,20]        values=[-0.850,-0.733,-1.212,-1.509,-1.432,...]
SIGMOID        0.067       [1,128,20,20]        values=[0.2993,0.3244,0.2292,0.1810,0.1927,...]
MULTIPLY       0.042       [1,128,20,20]        values=[-0.254,-0.237,-0.278,-0.273,-0.276,...]
CONCAT         0.077       [1,256,20,20]        values=[-0.271,-0.259,-0.240,-0.247,-0.234,...] weights=[0.7617,0.1146,-0.095,-0.106,-0.106,...]
CONCAT         0.070       [1,384,20,20]        values=[-0.271,-0.259,-0.240,-0.247,-0.234,...] weights=[-0.254,-0.237,-0.278,-0.273,-0.276,...]
IM2COL         0.917       [1,400,384]          values=[-0.271,0.2161,-0.082,-0.240,-0.248,...]
RESHAPE        0.065       [256,384]            values=[-0.011,-0.062,0.0369,-0.009,0.0678,...]
MATMUL_ND      2.093       [1,400,256]          values=[0.9960,-0.326,0.8999,0.5815,0.2988,...]
