=== Graph Execution Profile ===
Operation      Time (ms)   Output Shape        Backend
MULTIPLY       0.275       [1,32,80,80]         values=[0.9886,1.2335,1.1860,1.1177,1.1161,...]
ADD            0.372       [1,32,80,80]         values=[0.7541,1.1951,1.1175,1.0859,1.1300,...]
CONCAT         0.279       [1,64,80,80]         values=[2.7790,1.7251,1.6171,1.5808,1.5408,...] weights=[-0.234,-0.038,-0.068,-0.031,0.0138,...]
CONCAT         0.415       [1,96,80,80]         values=[2.7790,1.7251,1.6171,1.5808,1.5408,...] weights=[0.7541,1.1951,1.1175,1.0859,1.1300,...]
CONV2D         108.365     [1,128,80,80]        values=[-1.003,-0.591,-0.914,-0.772,-0.635,...]
SIGMOID        1.109       [1,128,80,80]        values=[0.2683,0.3563,0.2860,0.3159,0.3463,...]
MULTIPLY       1.648       [1,128,80,80]        values=[-0.269,-0.210,-0.261,-0.244,-0.220,...]
CONV2D         115.134     [1,128,40,40]        values=[-0.363,-1.169,-1.246,-0.995,-0.931,...]
SIGMOID        0.233       [1,128,40,40]        values=[0.4100,0.2369,0.2232,0.2698,0.2826,...]
MULTIPLY       0.279       [1,128,40,40]        values=[-0.149,-0.277,-0.278,-0.268,-0.263,...]
CONV2D         26.394      [1,128,40,40]        values=[2.2965,1.7089,1.3486,1.3940,1.2659,...]
SIGMOID        0.195       [1,128,40,40]        values=[0.9085,0.8467,0.7939,0.8012,0.7800,...]
MULTIPLY       0.286       [1,128,40,40]        values=[2.0865,1.4470,1.0707,1.1169,0.9874,...]
SLICE          0.077       [1,64,40,40]         values=[2.0865,1.4470,1.0707,1.1169,0.9874,...]
SLICE          0.073       [1,64,40,40]         values=[-0.227,-0.167,-0.177,-0.147,-0.155,...]
CONV2D         3.396       [1,32,40,40]         values=[0.3765,-0.157,-0.455,-0.501,-0.563,...]
CONV2D         3.322       [1,32,40,40]         values=[-1.512,-0.362,-0.246,-0.259,-0.163,...]
SIGMOID        0.051       [1,32,40,40]         values=[0.5930,0.4607,0.3879,0.3772,0.3627,...]
SIGMOID        0.056       [1,32,40,40]         values=[0.1805,0.4104,0.4386,0.4355,0.4591,...]
MULTIPLY       0.061       [1,32,40,40]         values=[0.2233,-0.072,-0.176,-0.189,-0.204,...]
MULTIPLY       0.054       [1,32,40,40]         values=[-0.273,-0.148,-0.108,-0.112,-0.075,...]
CONV2D         8.297       [1,32,40,40]         values=[-1.443,-1.518,-1.671,-2.077,-2.033,...]
SIGMOID        0.066       [1,32,40,40]         values=[0.1910,0.1797,0.1582,0.1112,0.1157,...]
MULTIPLY       0.055       [1,32,40,40]         values=[-0.275,-0.272,-0.264,-0.231,-0.235,...]
CONV2D         6.632       [1,32,40,40]         values=[0.7146,0.6081,0.7314,0.9072,0.8172,...]
SIGMOID        0.077       [1,32,40,40]         values=[0.6714,0.6475,0.6751,0.7124,0.6936,...]
MULTIPLY       0.057       [1,32,40,40]         values=[0.4798,0.3938,0.4937,0.6463,0.5668,...]
ADD            0.079       [1,32,40,40]         values=[0.7031,0.3213,0.3169,0.4571,0.3624,...]
CONV2D         6.497       [1,32,40,40]         values=[-0.581,-0.067,0.1663,0.1701,0.0885,...]
SIGMOID        0.075       [1,32,40,40]         values=[0.3585,0.4830,0.5414,0.5424,0.5221,...]
MULTIPLY       0.053       [1,32,40,40]         values=[-0.208,-0.032,0.0900,0.0923,0.0462,...]
CONV2D         6.106       [1,32,40,40]         values=[0.6963,0.7047,1.4345,1.5361,1.2623,...]
SIGMOID        0.061       [1,32,40,40]         values=[0.6673,0.6692,0.8076,0.8228,0.7794,...]
MULTIPLY       0.050       [1,32,40,40]         values=[0.4647,0.4716,1.1585,1.2640,0.9839,...]
ADD            0.055       [1,32,40,40]         values=[1.1678,0.7929,1.4755,1.7212,1.3463,...]
CONCAT         0.087       [1,64,40,40]         values=[1.1678,0.7929,1.4755,1.7212,1.3463,...] weights=[-0.273,-0.148,-0.108,-0.112,-0.075,...]
CONV2D         6.848       [1,64,40,40]         values=[-0.601,0.3167,0.5159,0.3049,-0.313,...]
SIGMOID        0.121       [1,64,40,40]         values=[0.3540,0.5785,0.6262,0.5756,0.4222,...]
MULTIPLY       0.111       [1,64,40,40]         values=[-0.212,0.1832,0.3230,0.1755,-0.132,...]
CONCAT         0.161       [1,128,40,40]        values=[2.0865,1.4470,1.0707,1.1169,0.9874,...] weights=[-0.227,-0.167,-0.177,-0.147,-0.155,...]
CONCAT         0.220       [1,192,40,40]        values=[2.0865,1.4470,1.0707,1.1169,0.9874,...] weights=[-0.212,0.1832,0.3230,0.1755,-0.132,...]
CONV2D         38.729      [1,128,40,40]        values=[-0.014,-0.063,0.1012,0.2076,0.0806,...]
SIGMOID        0.254       [1,128,40,40]        values=[0.4962,0.4841,0.5252,0.5517,0.5201,...]
MULTIPLY       0.293       [1,128,40,40]        values=[-0.007,-0.030,0.0531,0.1145,0.0419,...]
CONV2D         49.003      [1,256,20,20]        values=[-0.282,-1.902,-1.720,-1.612,-1.756,...]
SIGMOID        0.131       [1,256,20,20]        values=[0.4297,0.1298,0.1518,0.1662,0.1472,...]
MULTIPLY       0.129       [1,256,20,20]        values=[-0.121,-0.247,-0.261,-0.268,-0.258,...]
CONV2D         24.231      [1,256,20,20]        values=[-1.542,-1.741,-1.970,-1.883,-2.032,...]
SIGMOID        0.116       [1,256,20,20]        values=[0.1761,0.1491,0.1223,0.1319,0.1158,...]
MULTIPLY       0.099       [1,256,20,20]        values=[-0.271,-0.259,-0.241,-0.248,-0.235,...]
SLICE          0.045       [1,128,20,20]        values=[-0.271,-0.259,-0.241,-0.248,-0.235,...]
SLICE          0.043       [1,128,20,20]        values=[0.7629,0.1146,-0.097,-0.108,-0.106,...]
CONV2D         3.114       [1,64,20,20]         values=[-1.056,-0.394,-0.190,-0.333,-0.101,...]
CONV2D         3.110       [1,64,20,20]         values=[1.8151,0.6769,0.6154,0.8547,0.5145,...]
SIGMOID        0.038       [1,64,20,20]         values=[0.2579,0.4026,0.4525,0.4175,0.4746,...]
SIGMOID        0.024       [1,64,20,20]         values=[0.8599,0.6631,0.6492,0.7015,0.6258,...]
MULTIPLY       0.030       [1,64,20,20]         values=[-0.272,-0.158,-0.086,-0.139,-0.048,...]
MULTIPLY       0.024       [1,64,20,20]         values=[1.5610,0.4489,0.3995,0.5996,0.3220,...]
CONV2D         6.170       [1,64,20,20]         values=[-0.425,0.2170,0.5781,0.8679,1.1360,...]
SIGMOID        0.059       [1,64,20,20]         values=[0.3951,0.5540,0.6406,0.7043,0.7569,...]
MULTIPLY       0.025       [1,64,20,20]         values=[-0.168,0.1202,0.3704,0.6113,0.8598,...]
CONV2D         5.765       [1,64,20,20]         values=[0.0708,0.2800,0.1487,0.1058,0.1522,...]
SIGMOID        0.038       [1,64,20,20]         values=[0.5177,0.5695,0.5371,0.5264,0.5379,...]
MULTIPLY       0.023       [1,64,20,20]         values=[0.0366,0.1594,0.0798,0.0557,0.0819,...]
ADD            0.023       [1,64,20,20]         values=[-0.235,0.0006,-0.006,-0.083,0.0337,...]
CONV2D         5.773       [1,64,20,20]         values=[0.4313,0.3603,0.5814,0.4375,0.5016,...]
SIGMOID        0.037       [1,64,20,20]         values=[0.6061,0.5891,0.6414,0.6076,0.6228,...]
MULTIPLY       0.026       [1,64,20,20]         values=[0.2614,0.2122,0.3729,0.2658,0.3124,...]
CONV2D         5.771       [1,64,20,20]         values=[1.1777,0.9407,1.2936,1.7829,2.0864,...]
SIGMOID        0.035       [1,64,20,20]         values=[0.7645,0.7192,0.7847,0.8560,0.8895,...]
MULTIPLY       0.026       [1,64,20,20]         values=[0.9004,0.6765,1.0152,1.5263,1.8561,...]
ADD            0.028       [1,64,20,20]         values=[0.6645,0.6772,1.0089,1.4430,1.8898,...]
CONCAT         0.037       [1,128,20,20]        values=[0.6645,0.6772,1.0089,1.4430,1.8898,...] weights=[1.5610,0.4489,0.3995,0.5996,0.3220,...]
CONV2D         6.164       [1,128,20,20]        values=[-0.854,-0.735,-1.215,-1.516,-1.438,...]
SIGMOID        0.061       [1,128,20,20]        values=[0.2985,0.3239,0.2286,0.1799,0.1917,...]
MULTIPLY       0.045       [1,128,20,20]        values=[-0.255,-0.238,-0.278,-0.272,-0.275,...]
CONCAT         0.088       [1,256,20,20]        values=[-0.271,-0.259,-0.241,-0.248,-0.235,...] weights=[0.7629,0.1146,-0.097,-0.108,-0.106,...]
CONCAT         0.122       [1,384,20,20]        values=[-0.271,-0.259,-0.241,-0.248,-0.235,...] weights=[-0.255,-0.238,-0.278,-0.272,-0.275,...]
CONV2D         40.862      [1,256,20,20]        values=[0.5518,1.0239,0.7818,0.7358,0.6322,...]
SIGMOID        0.114       [1,256,20,20]        values=[0.6345,0.7357,0.6860,0.6760,0.6530,...]
MULTIPLY       0.113       [1,256,20,20]        values=[0.3502,0.7533,0.5364,0.4974,0.4128,...]
CONV2D         12.168      [1,128,20,20]        values=[3.2744,2.3780,2.1432,2.0600,2.1236,...]
SIGMOID        0.062       [1,128,20,20]        values=[0.9635,0.9151,0.8950,0.8869,0.8931,...]
MULTIPLY       0.045       [1,128,20,20]        values=[3.1550,2.1762,1.9182,1.8271,1.8968,...]
MAXPOOL        0.697       [1,128,20,20]        values=[3.3274,3.3274,3.3274,2.5923,2.7775,...]
MAXPOOL        0.721       [1,128,20,20]        values=[3.3274,3.4268,3.4268,3.4268,3.7545,...]
MAXPOOL        0.720       [1,128,20,20]        values=[4.2323,4.2323,4.2323,4.2712,4.2712,...]
CONCAT         0.059       [1,256,20,20]        values=[3.1550,2.1762,1.9182,1.8271,1.8968,...] weights=[3.3274,3.3274,3.3274,2.5923,2.7775,...]
CONCAT         0.124       [1,384,20,20]        values=[3.1550,2.1762,1.9182,1.8271,1.8968,...] weights=[3.3274,3.4268,3.4268,3.4268,3.7545,...]
CONCAT         0.156       [1,512,20,20]        values=[3.1550,2.1762,1.9182,1.8271,1.8968,...] weights=[4.2323,4.2323,4.2323,4.2712,4.2712,...]
CONV2D         51.036      [1,256,20,20]        values=[-2.481,-2.447,-2.531,-2.430,-1.921,...]
SIGMOID        0.123       [1,256,20,20]        values=[0.0771,0.0796,0.0736,0.0808,0.1277,...]
MULTIPLY       0.122       [1,256,20,20]        values=[-0.191,-0.194,-0.186,-0.196,-0.245,...]
CONV2D         24.331      [1,256,20,20]        values=[0.7822,0.9085,0.8858,1.2180,1.2692,...]
SIGMOID        0.113       [1,256,20,20]        values=[0.6861,0.7127,0.7080,0.7717,0.7806,...]
MULTIPLY       0.105       [1,256,20,20]        values=[0.5367,0.6475,0.6272,0.9400,0.9908,...]
SLICE          0.044       [1,128,20,20]        values=[0.5367,0.6475,0.6272,0.9400,0.9908,...]
SLICE          0.041       [1,128,20,20]        values=[0.3537,0.3666,0.2319,0.0061,-0.040,...]
CONV2D         12.806      [1,256,20,20]        values=[2.4150,2.8710,2.9181,3.1101,3.1507,...]
RESHAPE        0.061       [1,2,128,400]        values=[2.4150,2.8710,2.9181,3.1101,3.1507,...]
SLICE          0.020       [1,2,32,400]         values=[2.4150,2.8710,2.9181,3.1101,3.1507,...]
SLICE          0.017       [1,2,32,400]         values=[2.2780,2.7072,2.7069,2.8974,2.8248,...]
SLICE          0.041       [1,2,64,400]         values=[-0.650,-0.289,-0.393,-0.413,-0.500,...]
TRANSPOSE      0.131       [1,2,400,32]         values=[2.4150,-1.674,1.8326,-0.585,2.0632,...]
RESHAPE        0.038       [1,128,20,20]        values=[-0.650,-0.289,-0.393,-0.413,-0.500,...]
MATMUL_ND      1.334       [1,2,400,400]        values=[40.315,38.537,35.516,33.696,33.143,...]
CONV2D         0.200       [1,128,20,20]        values=[0.4248,0.2159,0.2732,0.3010,0.3748,...]
MULTIPLY       3.236       [1,2,400,400]        values=[7.1268,6.8125,6.2784,5.9568,5.8589,...]
SOFTMAX        0.721       [1,2,400,400]        values=[0.0410,0.0299,0.0175,0.0127,0.0115,...]
TRANSPOSE      1.514       [1,2,400,400]        values=[0.0410,0.0171,0.0177,0.0153,0.0154,...]
MATMUL_ND      1.604       [1,2,64,400]         values=[-0.114,-0.095,-0.188,-0.190,-0.232,...]
RESHAPE        0.031       [1,128,20,20]        values=[-0.114,-0.095,-0.188,-0.190,-0.232,...]
ADD            0.119       [1,128,20,20]        values=[0.3104,0.1206,0.0852,0.1101,0.1426,...]
CONV2D         6.231       [1,128,20,20]        values=[-0.907,-1.237,-0.761,-0.318,-0.232,...]
ADD            0.070       [1,128,20,20]        values=[-0.553,-0.871,-0.529,-0.312,-0.272,...]
CONV2D         12.254      [1,256,20,20]        values=[-0.960,-0.978,-1.212,-1.229,-1.250,...]
SIGMOID        0.105       [1,256,20,20]        values=[0.2767,0.2732,0.2292,0.2262,0.2225,...]
MULTIPLY       0.114       [1,256,20,20]        values=[-0.265,-0.267,-0.277,-0.278,-0.278,...]
CONV2D         12.191      [1,128,20,20]        values=[-0.468,-0.511,-0.515,-0.409,-0.381,...]
ADD            0.040       [1,128,20,20]        values=[-1.022,-1.383,-1.045,-0.721,-0.654,...]
CONCAT         0.076       [1,256,20,20]        values=[0.5367,0.6475,0.6272,0.9400,0.9908,...] weights=[-1.022,-1.383,-1.045,-0.721,-0.654,...]
CONV2D         24.287      [1,256,20,20]        values=[-2.487,-2.965,-2.842,-2.408,-2.334,...]
SIGMOID        0.099       [1,256,20,20]        values=[0.0767,0.0490,0.0550,0.0824,0.0883,...]
MULTIPLY       0.097       [1,256,20,20]        values=[-0.190,-0.145,-0.156,-0.198,-0.206,...]
RESHAPE        0.088       [256,20,20]          values=[-0.190,-0.145,-0.156,-0.198,-0.206,...]
RESIZE         0.786       [256,40,40]          values=[-0.190,-0.190,-0.145,-0.145,-0.156,...]
RESHAPE        0.294       [1,256,40,40]        values=[-0.190,-0.190,-0.145,-0.145,-0.156,...]
CONCAT         0.423       [1,384,40,40]        values=[-0.190,-0.190,-0.145,-0.145,-0.156,...] weights=[-0.007,-0.030,0.0531,0.1145,0.0419,...]
CONV2D         94.763      [1,128,40,40]        values=[1.2890,0.8575,1.0822,1.1415,1.1399,...]
SIGMOID        0.283       [1,128,40,40]        values=[0.7840,0.7021,0.7469,0.7579,0.7576,...]
MULTIPLY       0.282       [1,128,40,40]        values=[1.0106,0.6021,0.8083,0.8652,0.8636,...]
SLICE          0.079       [1,64,40,40]         values=[1.0106,0.6021,0.8083,0.8652,0.8636,...]
SLICE          0.074       [1,64,40,40]         values=[0.3610,0.7031,0.6053,0.5433,0.6173,...]
CONV2D         17.197      [1,32,40,40]         values=[-0.322,-0.705,-0.644,-0.378,-0.312,...]
SIGMOID        0.068       [1,32,40,40]         values=[0.4201,0.3305,0.3442,0.4064,0.4225,...]
MULTIPLY       0.056       [1,32,40,40]         values=[-0.135,-0.233,-0.221,-0.153,-0.132,...]
CONV2D         12.109      [1,64,40,40]         values=[-0.345,-1.272,-1.039,-0.983,-1.079,...]
SIGMOID        0.100       [1,64,40,40]         values=[0.4145,0.2188,0.2613,0.2721,0.2535,...]
MULTIPLY       0.104       [1,64,40,40]         values=[-0.143,-0.278,-0.271,-0.267,-0.273,...]
ADD            0.120       [1,64,40,40]         values=[0.2179,0.4247,0.3338,0.2756,0.3436,...]
CONCAT         0.152       [1,128,40,40]        values=[1.0106,0.6021,0.8083,0.8652,0.8636,...] weights=[0.3610,0.7031,0.6053,0.5433,0.6173,...]
CONCAT         0.223       [1,192,40,40]        values=[1.0106,0.6021,0.8083,0.8652,0.8636,...] weights=[0.2179,0.4247,0.3338,0.2756,0.3436,...]
CONV2D         40.860      [1,128,40,40]        values=[-1.820,-0.445,0.2459,0.6880,0.6769,...]
SIGMOID        0.260       [1,128,40,40]        values=[0.1393,0.3903,0.5611,0.6655,0.6631,...]
MULTIPLY       0.296       [1,128,40,40]        values=[-0.253,-0.173,0.1380,0.4579,0.4489,...]
RESHAPE        0.168       [128,40,40]          values=[-0.253,-0.173,0.1380,0.4579,0.4489,...]
RESIZE         1.524       [128,80,80]          values=[-0.253,-0.253,-0.173,-0.173,0.1380,...]
RESHAPE        0.763       [1,128,80,80]        values=[-0.253,-0.253,-0.173,-0.173,0.1380,...]
CONCAT         1.311       [1,256,80,80]        values=[-0.253,-0.253,-0.173,-0.173,0.1380,...] weights=[-0.269,-0.210,-0.261,-0.244,-0.220,...]
CONV2D         220.673     [1,64,80,80]         values=[-1.732,-1.539,-1.949,-2.027,-1.960,...]
SIGMOID        0.467       [1,64,80,80]         values=[0.1502,0.1766,0.1245,0.1163,0.1233,...]
MULTIPLY       0.819       [1,64,80,80]         values=[-0.260,-0.271,-0.242,-0.235,-0.241,...]
SLICE          0.161       [1,32,80,80]         values=[-0.260,-0.271,-0.242,-0.235,-0.241,...]
SLICE          0.137       [1,32,80,80]         values=[1.4329,1.2367,1.3478,1.3665,1.5315,...]
CONV2D         12.439      [1,16,80,80]         values=[0.2236,0.0349,0.1499,-0.045,-0.080,...]
SIGMOID        0.120       [1,16,80,80]         values=[0.5556,0.5087,0.5374,0.4886,0.4798,...]
MULTIPLY       0.108       [1,16,80,80]         values=[0.1242,0.0177,0.0805,-0.022,-0.038,...]
CONV2D         12.198      [1,32,80,80]         values=[-0.310,-0.060,-0.585,-0.686,-0.487,...]
SIGMOID        0.198       [1,32,80,80]         values=[0.4229,0.4849,0.3577,0.3347,0.3803,...]
MULTIPLY       0.308       [1,32,80,80]         values=[-0.131,-0.029,-0.209,-0.229,-0.185,...]
ADD            0.331       [1,32,80,80]         values=[1.3014,1.2075,1.1384,1.1366,1.3460,...]
CONCAT         0.301       [1,64,80,80]         values=[-0.260,-0.271,-0.242,-0.235,-0.241,...] weights=[1.4329,1.2367,1.3478,1.3665,1.5315,...]
CONCAT         0.425       [1,96,80,80]         values=[-0.260,-0.271,-0.242,-0.235,-0.241,...] weights=[1.3014,1.2075,1.1384,1.1366,1.3460,...]
CONV2D         48.552      [1,64,80,80]         values=[0.3052,0.7521,1.5272,1.2498,1.1700,...]
SIGMOID        0.679       [1,64,80,80]         values=[0.5757,0.6796,0.8216,0.7772,0.7631,...]
MULTIPLY       0.747       [1,64,80,80]         values=[0.1757,0.5111,1.2548,0.9715,0.8929,...]
CONV2D         25.352      [1,64,40,40]         values=[-1.417,-0.669,-1.298,-1.434,-1.659,...]
CONV2D         101.435     [1,64,80,80]         values=[-2.917,-2.688,-2.550,-2.524,-2.680,...]
CONV2D         1.476       [1,64,80,80]         values=[0.1538,0.1940,0.6728,1.0018,0.8297,...]
SIGMOID        0.096       [1,64,40,40]         values=[0.1949,0.3385,0.2144,0.1924,0.1597,...]
SIGMOID        0.500       [1,64,80,80]         values=[0.0513,0.0636,0.0724,0.0741,0.0641,...]
SIGMOID        0.511       [1,64,80,80]         values=[0.5383,0.5483,0.6622,0.7314,0.6962,...]
MULTIPLY       0.163       [1,64,40,40]         values=[-0.276,-0.226,-0.278,-0.276,-0.265,...]
MULTIPLY       0.620       [1,64,80,80]         values=[-0.149,-0.171,-0.184,-0.187,-0.171,...]
MULTIPLY       0.685       [1,64,80,80]         values=[0.0828,0.1063,0.4455,0.7327,0.5777,...]
CONCAT         0.263       [1,192,40,40]        values=[-0.276,-0.226,-0.278,-0.276,-0.265,...] weights=[-0.253,-0.173,0.1380,0.4579,0.4489,...]
CONV2D         102.303     [1,64,80,80]         values=[0.4007,-1.600,3.5420,-1.490,3.9499,...]
CONV2D         34.104      [1,80,80,80]         values=[-0.661,-0.506,-0.448,-0.398,-0.389,...]
CONV2D         41.390      [1,128,40,40]        values=[1.1687,1.3901,1.3163,1.6305,1.6816,...]
SIGMOID        0.462       [1,64,80,80]         values=[0.5988,0.1678,0.9718,0.1838,0.9811,...]
SIGMOID        0.557       [1,80,80,80]         values=[0.3403,0.3761,0.3897,0.4015,0.4038,...]
SIGMOID        0.257       [1,128,40,40]        values=[0.7629,0.8006,0.7886,0.8362,0.8431,...]
MULTIPLY       0.680       [1,64,80,80]         values=[0.2400,-0.268,3.4424,-0.274,3.8753,...]
MULTIPLY       0.818       [1,80,80,80]         values=[-0.225,-0.190,-0.174,-0.160,-0.157,...]
MULTIPLY       0.314       [1,128,40,40]        values=[0.8916,1.1130,1.0381,1.3635,1.4177,...]
CONV2D         27.304      [1,64,80,80]         values=[6.3889,4.0337,2.7310,1.8544,1.5388,...]
CONV2D         1.878       [1,80,80,80]         values=[0.8149,0.1713,0.2182,0.2034,0.1815,...]
SLICE          0.084       [1,64,40,40]         values=[0.8916,1.1130,1.0381,1.3635,1.4177,...]
SLICE          0.078       [1,64,40,40]         values=[-0.113,-0.162,-0.223,-0.244,-0.228,...]
SIGMOID        0.604       [1,80,80,80]         values=[0.6931,0.5427,0.5543,0.5506,0.5452,...]
CONV2D         12.010      [1,32,40,40]         values=[-0.515,-0.898,-1.063,-0.869,-0.845,...]
MULTIPLY       0.856       [1,80,80,80]         values=[0.5648,0.0929,0.1209,0.1120,0.0989,...]
SIGMOID        0.073       [1,32,40,40]         values=[0.3738,0.2893,0.2566,0.2953,0.3003,...]
CONV2D         56.650      [1,80,80,80]         values=[1.2042,1.3195,1.7292,1.4919,1.5380,...]
MULTIPLY       0.093       [1,32,40,40]         values=[-0.192,-0.259,-0.272,-0.256,-0.253,...]
SIGMOID        0.557       [1,80,80,80]         values=[0.7692,0.7891,0.8493,0.8163,0.8231,...]
CONV2D         12.345      [1,64,40,40]         values=[0.5699,0.8195,0.4342,0.5477,0.5238,...]
MULTIPLY       0.865       [1,80,80,80]         values=[0.9264,1.0413,1.4686,1.2179,1.2661,...]
SIGMOID        0.142       [1,64,40,40]         values=[0.6387,0.6941,0.6068,0.6336,0.6280,...]
CONV2D         56.417      [1,80,80,80]         values=[-12.41,-13.55,-13.34,-13.17,-12.69,...]
MULTIPLY       0.192       [1,64,40,40]         values=[0.3640,0.5689,0.2635,0.3470,0.3290,...]
CONCAT         0.666       [1,144,80,80]        values=[6.3889,4.0337,2.7310,1.8544,1.5388,...] weights=[-12.41,-13.55,-13.34,-13.17,-12.69,...]
ADD            0.160       [1,64,40,40]         values=[0.2503,0.4060,0.0404,0.1027,0.1000,...]
RESHAPE        0.656       [1,144,6400]         values=[6.3889,4.0337,2.7310,1.8544,1.5388,...]
CONCAT         0.134       [1,128,40,40]        values=[0.8916,1.1130,1.0381,1.3635,1.4177,...] weights=[-0.113,-0.162,-0.223,-0.244,-0.228,...]
CONCAT         0.213       [1,192,40,40]        values=[0.8916,1.1130,1.0381,1.3635,1.4177,...] weights=[0.2503,0.4060,0.0404,0.1027,0.1000,...]
CONV2D         38.900      [1,128,40,40]        values=[0.7042,-0.795,-0.760,-0.658,-0.745,...]
SIGMOID        0.256       [1,128,40,40]        values=[0.6691,0.3108,0.3184,0.3411,0.3217,...]
MULTIPLY       0.282       [1,128,40,40]        values=[0.4712,-0.247,-0.242,-0.224,-0.239,...]
CONV2D         25.756      [1,128,20,20]        values=[-1.009,-0.377,0.6256,-0.290,-0.791,...]
CONV2D         47.542      [1,64,40,40]         values=[0.1706,-0.493,0.5562,0.6837,0.9137,...]
CONV2D         0.721       [1,128,40,40]        values=[0.8518,2.2140,1.9713,1.9536,1.9739,...]
SIGMOID        0.067       [1,128,20,20]        values=[0.2671,0.4067,0.6515,0.4279,0.3117,...]
SIGMOID        0.083       [1,64,40,40]         values=[0.5425,0.3791,0.6355,0.6646,0.7137,...]
SIGMOID        0.237       [1,128,40,40]        values=[0.7009,0.9015,0.8777,0.8758,0.8780,...]
MULTIPLY       0.085       [1,128,20,20]        values=[-0.269,-0.153,0.4076,-0.124,-0.246,...]
MULTIPLY       0.149       [1,64,40,40]         values=[0.0925,-0.186,0.3535,0.4544,0.6521,...]
MULTIPLY       0.345       [1,128,40,40]        values=[0.5971,1.9960,1.7303,1.7110,1.7331,...]
CONCAT         0.125       [1,384,20,20]        values=[-0.269,-0.153,0.4076,-0.124,-0.246,...] weights=[-0.190,-0.145,-0.156,-0.198,-0.206,...]
