=== Graph Execution Profile ===
Operation      Time (ms)   Output Shape        Backend
TRANSPOSE      0.997       [1,8,160,160]        values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.167       [1,8,160,160]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.141       [1,8,160,160]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         1.463       [1,25600,72]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.003       [16,72]              values=[-1,17,-12,-1,36,...]
MATMUL_ND      3.279       [1,25600,16]         values=[-2174.,-9808.,5868.0,-819.0,-3454.,...]
ADD            3.819       [1,25600,16]         values=[-2206.,-17488,4384.0,-9648.,-3454.,...]
RESHAPE        0.179       [1,160,160,16]       values=[-2206.,-17488,4384.0,-9648.,-3454.,...]
TRANSPOSE      1.954       [1,16,160,160]       values=[-2206.,-1477.,202.87,-353.2,-353.2,...]
SIGMOID        0.428       [1,16,160,160]       values=[0.0000,0.0000,1.0000,0.0000,0.0000,...]
MULTIPLY       0.290       [1,16,160,160]       values=[-0.000,-0.000,202.87,-0.000,-0.000,...]
ADD            0.361       [1,16,160,160]       values=[-0.000,-0.000,202.87,-0.000,-0.000,...]
CONCAT         0.292       [1,32,160,160]       values=[9312.0,8488.0,8488.0,8488.0,8488.0,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.430       [1,48,160,160]       values=[9312.0,8488.0,8488.0,8488.0,8488.0,...] weights=[-0.000,-0.000,202.87,-0.000,-0.000,...]
IM2COL         5.218       [1,25600,48]         values=[9312.0,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.002       [64,48]              values=[9,1,2,-1,1,...]
MATMUL_ND      5.015       [1,25600,64]         values=[4700.0,-9048.,-8188.,-4000.,7904.0,...]
ADD            14.690      [1,25600,64]         values=[4700.0,-9048.,-8188.,-65504,7904.0,...]
RESHAPE        1.299       [1,160,160,64]       values=[4700.0,-9048.,-8188.,-65504,7904.0,...]
TRANSPOSE      7.642       [1,64,160,160]       values=[4700.0,3522.0,3252.0,3118.0,3118.0,...]
SIGMOID        1.133       [1,64,160,160]       values=[1.0000,1.0000,1.0000,1.0000,1.0000,...]
MULTIPLY       1.776       [1,64,160,160]       values=[4700.0,3522.0,3252.0,3118.0,3118.0,...]
IM2COL         10.439      [1,6400,576]         values=[0.0000,0.0000,0.0000,0.0000,4700.0,...]
RESHAPE        0.017       [64,576]             values=[0,-3,2,-1,-4,...]
MATMUL_ND      4.483       [1,6400,64]          values=[568.50,-417.5,2674.0,-2258.,-2948.,...]
ADD            3.681       [1,6400,64]          values=[568.50,-417.5,2674.0,-2258.,-65504,...]
RESHAPE        0.156       [1,80,80,64]         values=[568.50,-417.5,2674.0,-2258.,-65504,...]
TRANSPOSE      2.139       [1,64,80,80]         values=[568.50,-260.7,-174.8,-174.8,-174.8,...]
SIGMOID        0.282       [1,64,80,80]         values=[1.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.330       [1,64,80,80]         values=[568.50,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         2.305       [1,6400,64]          values=[568.50,-0.000,2674.0,-0.000,-0.000,...]
RESHAPE        0.002       [64,64]              values=[-5,-17,0,6,1,...]
MATMUL_ND      1.219       [1,6400,64]          values=[1771.0,697.50,-3970.,-4944.,2330.0,...]
ADD            3.680       [1,6400,64]          values=[1771.0,697.50,-3746.,-65504,2276.0,...]
RESHAPE        0.168       [1,80,80,64]         values=[1771.0,697.50,-3746.,-65504,2276.0,...]
TRANSPOSE      1.334       [1,64,80,80]         values=[1771.0,2112.0,1848.0,1848.0,1848.0,...]
SIGMOID        0.407       [1,64,80,80]         values=[1.0000,1.0000,1.0000,1.0000,1.0000,...]
MULTIPLY       0.342       [1,64,80,80]         values=[1771.0,2112.0,1848.0,1848.0,1848.0,...]
SLICE          0.089       [1,32,80,80]         values=[1771.0,2112.0,1848.0,1848.0,1848.0,...]
SLICE          0.082       [1,32,80,80]         values=[1781.0,1454.0,1499.0,1499.0,1499.0,...]
IM2COL         5.091       [1,6400,288]         values=[0.0000,0.0000,0.0000,0.0000,1781.0,...]
RESHAPE        0.004       [16,288]             values=[1,2,-2,-10,0,...]
MATMUL_ND      1.809       [1,6400,16]          values=[-1193.,-709.0,-1565.,75.562,-1454.,...]
ADD            0.954       [1,6400,16]          values=[-641.5,122.50,4780.0,132.00,-51552,...]
RESHAPE        0.038       [1,80,80,16]         values=[-641.5,122.50,4780.0,132.00,-51552,...]
TRANSPOSE      0.281       [1,16,80,80]         values=[-641.5,168.00,140.00,148.50,148.50,...]
SIGMOID        0.095       [1,16,80,80]         values=[0.0000,1.0000,1.0000,1.0000,1.0000,...]
MULTIPLY       0.060       [1,16,80,80]         values=[-0.000,168.00,140.00,148.50,148.50,...]
IM2COL         2.288       [1,6400,144]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.002       [32,144]             values=[-4,2,-2,-3,1,...]
MATMUL_ND      1.493       [1,6400,32]          values=[1757.0,-470.7,-3008.,-29.81,1188.0,...]
ADD            1.889       [1,6400,32]          values=[1785.0,-478.0,-3002.,-2742.,1292.0,...]
RESHAPE        0.073       [1,80,80,32]         values=[1785.0,-478.0,-3002.,-2742.,1292.0,...]
TRANSPOSE      1.013       [1,32,80,80]         values=[1785.0,1954.0,1683.0,1661.0,1646.0,...]
SIGMOID        0.168       [1,32,80,80]         values=[1.0000,1.0000,1.0000,1.0000,1.0000,...]
MULTIPLY       0.154       [1,32,80,80]         values=[1785.0,1954.0,1683.0,1661.0,1646.0,...]
ADD            0.176       [1,32,80,80]         values=[3566.0,3408.0,3182.0,3160.0,3144.0,...]
CONCAT         0.169       [1,64,80,80]         values=[1771.0,2112.0,1848.0,1848.0,1848.0,...] weights=[1781.0,1454.0,1499.0,1499.0,1499.0,...]
CONCAT         0.230       [1,96,80,80]         values=[1771.0,2112.0,1848.0,1848.0,1848.0,...] weights=[3566.0,3408.0,3182.0,3160.0,3144.0,...]
IM2COL         3.409       [1,6400,96]          values=[1771.0,697.50,-0.000,-0.000,2276.0,...]
RESHAPE        0.004       [128,96]             values=[13,0,-9,-1,-1,...]
MATMUL_ND      2.528       [1,6400,128]         values=[-4964.,1098.0,-1277.,-1593.,-1493.,...]
ADD            7.305       [1,6400,128]         values=[-4964.,1098.0,-1277.,-9664.,-33888,...]
RESHAPE        0.311       [1,80,80,128]        values=[-4964.,1098.0,-1277.,-9664.,-33888,...]
TRANSPOSE      4.280       [1,128,80,80]        values=[-4964.,-4816.,-4912.,-4932.,-4924.,...]
SIGMOID        0.492       [1,128,80,80]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.704       [1,128,80,80]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         4.586       [1,1600,1152]        values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.060       [128,1152]           values=[-1,2,-3,10,9,...]
MATMUL_ND      3.075       [1,1600,128]         values=[465.50,-2904.,91.562,-3258.,-816.0,...]
ADD            1.830       [1,1600,128]         values=[465.50,-21536,-1386.,-3148.,-826.0,...]
RESHAPE        0.091       [1,40,40,128]        values=[465.50,-21536,-1386.,-3148.,-826.0,...]
TRANSPOSE      1.029       [1,128,40,40]        values=[465.50,1072.0,948.50,967.50,967.50,...]
SIGMOID        0.226       [1,128,40,40]        values=[1.0000,1.0000,1.0000,1.0000,1.0000,...]
MULTIPLY       0.144       [1,128,40,40]        values=[465.50,1072.0,948.50,967.50,967.50,...]
IM2COL         0.998       [1,1600,128]         values=[465.50,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.004       [128,128]            values=[1,-2,-6,8,3,...]
MATMUL_ND      0.941       [1,1600,128]         values=[-377.7,-4700.,-427.5,-501.7,5044.0,...]
ADD            1.832       [1,1600,128]         values=[-1708.,-4888.,-6432.,-522.5,5524.0,...]
RESHAPE        0.098       [1,40,40,128]        values=[-1708.,-4888.,-6432.,-522.5,5524.0,...]
TRANSPOSE      1.036       [1,128,40,40]        values=[-1708.,-1751.,-1726.,-1726.,-1726.,...]
SIGMOID        0.221       [1,128,40,40]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.144       [1,128,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.051       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.049       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.515       [1,1600,64]          values=[-0.000,1858.0,-0.000,-0.000,-0.000,...]
RESHAPE        0.001       [32,64]              values=[-8,38,117,-65,-2,...]
MATMUL_ND      0.373       [1,1600,32]          values=[-1114.,5660.0,-12184,-2684.,-11744,...]
ADD            0.469       [1,1600,32]          values=[-4744.,5772.0,-65504,-2684.,-11688,...]
RESHAPE        0.015       [1,40,40,32]         values=[-4744.,5772.0,-65504,-2684.,-11688,...]
TRANSPOSE      0.261       [1,32,40,40]         values=[-4744.,-5812.,-5816.,-5816.,-5816.,...]
IM2COL         0.515       [1,1600,64]          values=[-0.000,1858.0,-0.000,-0.000,-0.000,...]
RESHAPE        0.001       [32,64]              values=[4,8,4,0,-5,...]
MATMUL_ND      0.286       [1,1600,32]          values=[8536.0,8368.0,5988.0,-14.76,-7220.,...]
ADD            0.465       [1,1600,32]          values=[8536.0,8368.0,5988.0,-14.76,-7220.,...]
RESHAPE        0.022       [1,40,40,32]         values=[8536.0,8368.0,5988.0,-14.76,-7220.,...]
TRANSPOSE      0.252       [1,32,40,40]         values=[8536.0,8264.0,8192.0,8192.0,8192.0,...]
SIGMOID        0.065       [1,32,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
SIGMOID        0.059       [1,32,40,40]         values=[1.0000,1.0000,1.0000,1.0000,1.0000,...]
MULTIPLY       0.029       [1,32,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MULTIPLY       0.033       [1,32,40,40]         values=[8536.0,8264.0,8192.0,8192.0,8192.0,...]
IM2COL         1.148       [1,1600,288]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.002       [32,288]             values=[6,-24,-38,13,-38,...]
MATMUL_ND      0.644       [1,1600,32]          values=[-217.0,-5984.,-4048.,-1318.,-426.7,...]
ADD            0.466       [1,1600,32]          values=[-216.6,-65504,-20384,-2104.,-418.7,...]
RESHAPE        0.022       [1,40,40,32]         values=[-216.6,-65504,-20384,-2104.,-418.7,...]
TRANSPOSE      0.254       [1,32,40,40]         values=[-216.6,762.00,383.75,434.00,414.00,...]
SIGMOID        0.065       [1,32,40,40]         values=[0.0000,1.0000,1.0000,1.0000,1.0000,...]
MULTIPLY       0.040       [1,32,40,40]         values=[-0.000,762.00,383.75,434.00,414.00,...]
IM2COL         1.115       [1,1600,288]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.003       [32,288]             values=[-8,-1,6,-5,-14,...]
MATMUL_ND      0.696       [1,1600,32]          values=[-584.0,-539.5,99.625,-410.2,-285.7,...]
ADD            0.466       [1,1600,32]          values=[-1055.,-506.7,-1563.,-4440.,-30128,...]
RESHAPE        0.029       [1,40,40,32]         values=[-1055.,-506.7,-1563.,-4440.,-30128,...]
TRANSPOSE      0.257       [1,32,40,40]         values=[-1055.,-1377.,-913.0,-837.5,-813.0,...]
SIGMOID        0.065       [1,32,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.026       [1,32,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
ADD            0.040       [1,32,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         1.113       [1,1600,288]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.002       [32,288]             values=[8,-1,-15,-1,-40,...]
MATMUL_ND      0.689       [1,1600,32]          values=[-1703.,-3956.,-148.8,2818.0,-596.0,...]
ADD            0.467       [1,1600,32]          values=[-10312,-4276.,-148.8,2818.0,-65504,...]
RESHAPE        0.021       [1,40,40,32]         values=[-10312,-4276.,-148.8,2818.0,-65504,...]
TRANSPOSE      0.261       [1,32,40,40]         values=[-10312,-11264,-11416,-11400,-11440,...]
SIGMOID        0.064       [1,32,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.032       [1,32,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         1.139       [1,1600,288]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.002       [32,288]             values=[3,22,-2,-7,29,...]
MATMUL_ND      0.786       [1,1600,32]          values=[-4872.,-548.0,207.37,3396.0,-1552.,...]
ADD            0.470       [1,1600,32]          values=[-4716.,-106.0,207.37,3396.0,-1552.,...]
RESHAPE        0.031       [1,40,40,32]         values=[-4716.,-106.0,207.37,3396.0,-1552.,...]
TRANSPOSE      0.342       [1,32,40,40]         values=[-4716.,-5648.,-7040.,-7264.,-7268.,...]
SIGMOID        0.094       [1,32,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.041       [1,32,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
ADD            0.046       [1,32,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.050       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[8536.0,8264.0,8192.0,8192.0,8192.0,...]
IM2COL         0.515       [1,1600,64]          values=[-0.000,5772.0,207.37,3396.0,-0.000,...]
RESHAPE        0.002       [64,64]              values=[52,-31,14,30,47,...]
MATMUL_ND      0.507       [1,1600,64]          values=[-4692.,-3760.,-3516.,1489.0,1444.0,...]
ADD            0.939       [1,1600,64]          values=[-14624,-18240,-3516.,1489.0,1445.0,...]
RESHAPE        0.031       [1,40,40,64]         values=[-14624,-18240,-3516.,1489.0,1445.0,...]
TRANSPOSE      0.511       [1,64,40,40]         values=[-14624,-16000,-17056,-17120,-17168,...]
SIGMOID        0.115       [1,64,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.076       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.107       [1,128,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.156       [1,192,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         1.516       [1,1600,192]         values=[-0.000,-0.000,-0.000,-0.000,5524.0,...]
RESHAPE        0.006       [128,192]            values=[4,-1,-10,5,-8,...]
MATMUL_ND      1.273       [1,1600,128]         values=[-36.28,-5744.,-4476.,-3476.,-8216.,...]
ADD            1.830       [1,1600,128]         values=[-36.28,-5744.,-4476.,-3476.,-31104,...]
RESHAPE        0.104       [1,40,40,128]        values=[-36.28,-5744.,-4476.,-3476.,-31104,...]
TRANSPOSE      1.026       [1,128,40,40]        values=[-36.28,643.00,954.50,989.50,996.00,...]
SIGMOID        0.222       [1,128,40,40]        values=[0.0000,1.0000,1.0000,1.0000,1.0000,...]
MULTIPLY       0.136       [1,128,40,40]        values=[-0.000,643.00,954.50,989.50,996.00,...]
IM2COL         1.174       [1,400,1152]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.076       [256,1152]           values=[-5,8,3,3,1,...]
MATMUL_ND      1.651       [1,400,256]          values=[-1351.,4064.0,-4536.,-55.31,5772.0,...]
ADD            0.908       [1,400,256]          values=[-1351.,-20336,-37024,-55.31,2242.0,...]
RESHAPE        0.041       [1,20,20,256]        values=[-1351.,-20336,-37024,-55.31,2242.0,...]
TRANSPOSE      0.529       [1,256,20,20]        values=[-1351.,316.25,256.25,254.12,249.50,...]
SIGMOID        0.121       [1,256,20,20]        values=[0.0000,1.0000,1.0000,1.0000,1.0000,...]
MULTIPLY       0.065       [1,256,20,20]        values=[-0.000,316.25,256.25,254.12,249.50,...]
IM2COL         0.584       [1,400,256]          values=[-0.000,-0.000,-0.000,-0.000,2242.0,...]
RESHAPE        0.016       [256,256]            values=[3,15,-7,0,-3,...]
MATMUL_ND      0.565       [1,400,256]          values=[4940.0,-993.5,-9920.,-5960.,-1468.,...]
ADD            0.909       [1,400,256]          values=[4060.0,-65504,-13896,-5960.,-1468.,...]
RESHAPE        0.035       [1,20,20,256]        values=[4060.0,-65504,-13896,-5960.,-1468.,...]
TRANSPOSE      0.516       [1,256,20,20]        values=[4060.0,4560.0,4624.0,4552.0,4592.0,...]
SIGMOID        0.136       [1,256,20,20]        values=[1.0000,1.0000,1.0000,1.0000,1.0000,...]
MULTIPLY       0.068       [1,256,20,20]        values=[4060.0,4560.0,4624.0,4552.0,4592.0,...]
SLICE          0.022       [1,128,20,20]        values=[4060.0,4560.0,4624.0,4552.0,4592.0,...]
SLICE          0.022       [1,128,20,20]        values=[1334.0,1286.0,1353.0,1332.0,1286.0,...]
IM2COL         0.300       [1,400,128]          values=[1334.0,3648.0,1534.0,807.00,-0.000,...]
RESHAPE        0.002       [64,128]             values=[-8,7,-4,-3,-8,...]
MATMUL_ND      0.275       [1,400,64]           values=[-5308.,1170.0,142.75,-5252.,-467.2,...]
ADD            0.268       [1,400,64]           values=[-5308.,-14800,142.75,-9344.,-852.5,...]
RESHAPE        0.011       [1,20,20,64]         values=[-5308.,-14800,142.75,-9344.,-852.5,...]
TRANSPOSE      0.147       [1,64,20,20]         values=[-5308.,-5136.,-5196.,-5228.,-5228.,...]
IM2COL         0.315       [1,400,128]          values=[1334.0,3648.0,1534.0,807.00,-0.000,...]
RESHAPE        0.003       [64,128]             values=[-19,-23,1,-28,13,...]
MATMUL_ND      0.259       [1,400,64]           values=[-2412.,2652.0,2376.0,8224.0,469.50,...]
ADD            0.230       [1,400,64]           values=[-65504,-21264,2322.0,8192.0,-3606.,...]
RESHAPE        0.008       [1,20,20,64]         values=[-65504,-21264,2322.0,8192.0,-3606.,...]
TRANSPOSE      0.138       [1,64,20,20]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.041       [1,64,20,20]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
SIGMOID        0.036       [1,64,20,20]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.019       [1,64,20,20]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MULTIPLY       0.017       [1,64,20,20]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.571       [1,400,576]          values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.010       [64,576]             values=[-6,0,0,-6,-10,...]
MATMUL_ND      0.578       [1,400,64]           values=[-1743.,-396.5,-3644.,425.25,-1913.,...]
ADD            0.230       [1,400,64]           values=[-1743.,-416.0,-44992,425.25,-14552,...]
RESHAPE        0.010       [1,20,20,64]         values=[-1743.,-416.0,-44992,425.25,-14552,...]
TRANSPOSE      0.144       [1,64,20,20]         values=[-1743.,-2566.,-2506.,-2566.,-2568.,...]
SIGMOID        0.038       [1,64,20,20]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.016       [1,64,20,20]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.564       [1,400,576]          values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.009       [64,576]             values=[12,3,-10,6,9,...]
MATMUL_ND      0.583       [1,400,64]           values=[-745.5,647.50,117.25,628.50,382.75,...]
ADD            0.231       [1,400,64]           values=[-65504,123.50,116.87,546.00,5392.0,...]
RESHAPE        0.008       [1,20,20,64]         values=[-65504,123.50,116.87,546.00,5392.0,...]
TRANSPOSE      0.141       [1,64,20,20]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.039       [1,64,20,20]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.016       [1,64,20,20]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
ADD            0.019       [1,64,20,20]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.561       [1,400,576]          values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.010       [64,576]             values=[-1,-6,5,4,-2,...]
MATMUL_ND      0.580       [1,400,64]           values=[-728.0,419.50,571.50,-2552.,-3798.,...]
ADD            0.231       [1,400,64]           values=[-728.0,-65504,571.50,-2552.,-60864,...]
RESHAPE        0.010       [1,20,20,64]         values=[-728.0,-65504,571.50,-2552.,-60864,...]
TRANSPOSE      0.135       [1,64,20,20]         values=[-728.0,432.75,-1.331,53.687,-55.03,...]
SIGMOID        0.055       [1,64,20,20]         values=[0.0000,1.0000,0.2089,1.0000,0.0000,...]
MULTIPLY       0.018       [1,64,20,20]         values=[-0.000,432.75,-0.278,53.687,-0.000,...]
IM2COL         0.582       [1,400,576]          values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.013       [64,576]             values=[1,1,2,-3,-3,...]
MATMUL_ND      0.555       [1,400,64]           values=[-621.5,-654.5,520.00,921.00,-1724.,...]
ADD            0.232       [1,400,64]           values=[-621.5,-15080,-3704.,921.00,-1724.,...]
RESHAPE        0.011       [1,20,20,64]         values=[-621.5,-15080,-3704.,921.00,-1724.,...]
TRANSPOSE      0.195       [1,64,20,20]         values=[-621.5,-913.0,-588.0,-673.0,-690.5,...]
SIGMOID        0.049       [1,64,20,20]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.020       [1,64,20,20]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
ADD            0.026       [1,64,20,20]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.029       [1,128,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.304       [1,400,128]          values=[-0.000,123.50,259.50,1467.0,5392.0,...]
RESHAPE        0.007       [128,128]            values=[-9,2,-2,-3,-5,...]
MATMUL_ND      0.364       [1,400,128]          values=[-2594.,1574.0,-3378.,-3770.,432.75,...]
ADD            0.457       [1,400,128]          values=[-2594.,1517.0,-23520,-8872.,-24240,...]
RESHAPE        0.013       [1,20,20,128]        values=[-2594.,1517.0,-23520,-8872.,-24240,...]
TRANSPOSE      0.260       [1,128,20,20]        values=[-2594.,-2740.,-3016.,-3122.,-3178.,...]
SIGMOID        0.065       [1,128,20,20]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.030       [1,128,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.062       [1,256,20,20]        values=[4060.0,4560.0,4624.0,4552.0,4592.0,...] weights=[1334.0,1286.0,1353.0,1332.0,1286.0,...]
CONCAT         0.072       [1,384,20,20]        values=[4060.0,4560.0,4624.0,4552.0,4592.0,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.974       [1,400,384]          values=[4060.0,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.039       [256,384]            values=[-2,-8,5,-1,9,...]
MATMUL_ND      0.782       [1,400,256]          values=[-6608.,-3080.,781.00,870.00,-3076.,...]
ADD            0.926       [1,400,256]          values=[-6828.,-5668.,-2748.,870.00,-3078.,...]
RESHAPE        0.047       [1,20,20,256]        values=[-6828.,-5668.,-2748.,870.00,-3078.,...]
TRANSPOSE      2.147       [1,256,20,20]        values=[-6828.,-9096.,-9384.,-9216.,-9184.,...]
SIGMOID        0.119       [1,256,20,20]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.066       [1,256,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.608       [1,400,256]          values=[-0.000,-0.000,-0.000,870.00,-0.000,...]
RESHAPE        0.011       [128,256]            values=[2,-25,12,22,-9,...]
MATMUL_ND      0.580       [1,400,128]          values=[-837.0,-2806.,-1108.,-1097.,-461.0,...]
ADD            0.457       [1,400,128]          values=[-490.2,-2800.,-410.0,-1088.,-180.0,...]
RESHAPE        0.022       [1,20,20,128]        values=[-490.2,-2800.,-410.0,-1088.,-180.0,...]
TRANSPOSE      0.293       [1,128,20,20]        values=[-490.2,-744.0,-644.0,-681.0,-683.0,...]
SIGMOID        0.094       [1,128,20,20]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
