=== Graph Execution Profile ===
Operation      Time (ms)   Output Shape        Backend
RESHAPE        0.151       [1,80,80,64]         values=[-65504,-65504,-65504,1.8134,-65504,...]
TRANSPOSE      1.130       [1,64,80,80]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.305       [1,64,80,80]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.324       [1,64,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.086       [1,32,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.078       [1,32,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         5.105       [1,6400,288]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.007       [16,288]             values=[0.0040,0.0146,-0.014,-0.061,-0.001,...]
MATMUL_ND      1.903       [1,6400,16]          values=[nan,nan,-nan,-nan,-inf,...]
ADD            0.952       [1,6400,16]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.030       [1,80,80,16]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.265       [1,16,80,80]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.072       [1,16,80,80]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.051       [1,16,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         2.296       [1,6400,144]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.006       [32,144]             values=[-0.053,0.0247,-0.027,-0.037,0.0080,...]
MATMUL_ND      2.099       [1,6400,32]          values=[0.0000,nan,-nan,-nan,-nan,...]
ADD            1.866       [1,6400,32]          values=[5.6953,-65504,-65504,-65504,-65504,...]
RESHAPE        0.091       [1,80,80,32]         values=[5.6953,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.516       [1,32,80,80]         values=[5.6953,5.6953,5.6953,5.6953,5.6953,...]
SIGMOID        0.119       [1,32,80,80]         values=[0.9965,0.9965,0.9965,0.9965,0.9965,...]
MULTIPLY       0.145       [1,32,80,80]         values=[5.6757,5.6757,5.6757,5.6757,5.6757,...]
ADD            0.189       [1,32,80,80]         values=[5.6757,5.6757,5.6757,5.6757,5.6757,...]
CONCAT         0.167       [1,64,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.231       [1,96,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[5.6757,5.6757,5.6757,5.6757,5.6757,...]
IM2COL         3.404       [1,6400,96]          values=[-0.000,-0.000,-0.000,1.5595,-0.000,...]
RESHAPE        0.013       [128,96]             values=[0.1264,-0.003,-0.090,-0.011,-0.008,...]
MATMUL_ND      6.563       [1,6400,128]         values=[353.75,-inf,-inf,nan,-inf,...]
ADD            7.269       [1,6400,128]         values=[353.75,-65504,-65504,-65504,-65504,...]
RESHAPE        0.272       [1,80,80,128]        values=[353.75,-65504,-65504,-65504,-65504,...]
TRANSPOSE      2.602       [1,128,80,80]        values=[353.75,353.75,353.75,353.75,353.75,...]
SIGMOID        0.599       [1,128,80,80]        values=[1.0000,1.0000,1.0000,1.0000,1.0000,...]
MULTIPLY       0.727       [1,128,80,80]        values=[353.75,353.75,353.75,353.75,353.75,...]
IM2COL         4.641       [1,1600,1152]        values=[0.0000,0.0000,0.0000,0.0000,353.75,...]
RESHAPE        0.161       [128,1152]           values=[-0.004,0.0111,-0.013,0.0535,0.0457,...]
MATMUL_ND      10.830      [1,1600,128]         values=[-nan,-nan,-nan,nan,-nan,...]
ADD            1.820       [1,1600,128]         values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.081       [1,40,40,128]        values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.546       [1,128,40,40]        values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.158       [1,128,40,40]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.126       [1,128,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.996       [1,1600,128]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.015       [128,128]            values=[0.0160,-0.037,-0.130,0.1686,0.0657,...]
MATMUL_ND      1.895       [1,1600,128]         values=[-nan,0.0000,0.0000,0.0000,-nan,...]
ADD            1.815       [1,1600,128]         values=[-65504,1.9375,-0.000,-1.827,-65504,...]
RESHAPE        0.095       [1,40,40,128]        values=[-65504,1.9375,-0.000,-1.827,-65504,...]
TRANSPOSE      0.566       [1,128,40,40]        values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.180       [1,128,40,40]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.147       [1,128,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.050       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.039       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.512       [1,1600,64]          values=[-0.000,1.5292,-0.000,-0.242,-0.000,...]
RESHAPE        0.002       [32,64]              values=[-0.030,0.1415,0.4389,-0.242,-0.008,...]
MATMUL_ND      0.351       [1,1600,32]          values=[-nan,nan,-nan,nan,-nan,...]
ADD            0.464       [1,1600,32]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.010       [1,40,40,32]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.148       [1,32,40,40]         values=[-65504,-65504,-65504,-65504,-65504,...]
IM2COL         0.496       [1,1600,64]          values=[-0.000,1.5292,-0.000,-0.242,-0.000,...]
RESHAPE        0.003       [32,64]              values=[0.0751,0.1427,0.0813,0.0035,-0.087,...]
MATMUL_ND      0.349       [1,1600,32]          values=[-nan,-nan,nan,-nan,-inf,...]
ADD            0.475       [1,1600,32]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.020       [1,40,40,32]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.165       [1,32,40,40]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.072       [1,32,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
SIGMOID        0.067       [1,32,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.042       [1,32,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MULTIPLY       0.036       [1,32,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         1.141       [1,1600,288]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.012       [32,288]             values=[0.0440,-0.184,-0.285,0.1024,-0.287,...]
MATMUL_ND      0.857       [1,1600,32]          values=[-nan,nan,nan,-nan,nan,...]
ADD            0.464       [1,1600,32]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.020       [1,40,40,32]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.262       [1,32,40,40]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.068       [1,32,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.036       [1,32,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         1.151       [1,1600,288]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.013       [32,288]             values=[-0.055,-0.006,0.0396,-0.036,-0.100,...]
MATMUL_ND      0.855       [1,1600,32]          values=[nan,-nan,nan,nan,nan,...]
ADD            0.464       [1,1600,32]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.024       [1,40,40,32]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.265       [1,32,40,40]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.071       [1,32,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.039       [1,32,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
ADD            0.052       [1,32,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         1.116       [1,1600,288]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.010       [32,288]             values=[0.0324,-0.003,-0.062,-0.005,-0.166,...]
MATMUL_ND      0.878       [1,1600,32]          values=[nan,nan,nan,-nan,nan,...]
ADD            0.464       [1,1600,32]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.025       [1,40,40,32]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.265       [1,32,40,40]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.067       [1,32,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.033       [1,32,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         1.117       [1,1600,288]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.009       [32,288]             values=[0.0299,0.2140,-0.020,-0.066,0.2845,...]
MATMUL_ND      0.869       [1,1600,32]          values=[-nan,nan,-nan,nan,-nan,...]
ADD            0.464       [1,1600,32]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.024       [1,40,40,32]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.268       [1,32,40,40]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.068       [1,32,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.035       [1,32,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
ADD            0.046       [1,32,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.047       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.512       [1,1600,64]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.004       [64,64]              values=[0.3614,-0.214,0.0971,0.2055,0.3268,...]
MATMUL_ND      0.684       [1,1600,64]          values=[-nan,nan,nan,nan,nan,...]
ADD            0.912       [1,1600,64]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.044       [1,40,40,64]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.521       [1,64,40,40]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.120       [1,64,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.072       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.104       [1,128,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.134       [1,192,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         1.501       [1,1600,192]         values=[-0.000,1.6933,-0.000,-0.253,-0.000,...]
RESHAPE        0.028       [128,192]            values=[0.0293,-0.006,-0.064,0.0349,-0.053,...]
MATMUL_ND      2.458       [1,1600,128]         values=[-nan,-nan,nan,inf,-nan,...]
ADD            1.815       [1,1600,128]         values=[-65504,-65504,-65504,65504.,-65504,...]
RESHAPE        0.097       [1,40,40,128]        values=[-65504,-65504,-65504,65504.,-65504,...]
TRANSPOSE      1.052       [1,128,40,40]        values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.160       [1,128,40,40]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.157       [1,128,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         1.156       [1,400,1152]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.250       [256,1152]           values=[-0.027,0.0412,0.0156,0.0155,0.0034,...]
MATMUL_ND      5.440       [1,400,256]          values=[nan,-nan,-nan,-nan,nan,...]
ADD            0.905       [1,400,256]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.041       [1,20,20,256]        values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.512       [1,256,20,20]        values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.094       [1,256,20,20]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.060       [1,256,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.575       [1,400,256]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.062       [256,256]            values=[0.0445,0.2587,-0.111,0.0064,-0.050,...]
MATMUL_ND      1.514       [1,400,256]          values=[-nan,0.0000,-nan,-nan,-nan,...]
ADD            0.901       [1,400,256]          values=[-65504,-1.807,-65504,-65504,-65504,...]
RESHAPE        0.042       [1,20,20,256]        values=[-65504,-1.807,-65504,-65504,-65504,...]
TRANSPOSE      0.514       [1,256,20,20]        values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.092       [1,256,20,20]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.065       [1,256,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.020       [1,128,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.017       [1,128,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.297       [1,400,128]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.007       [64,128]             values=[-0.103,0.0928,-0.060,-0.039,-0.105,...]
MATMUL_ND      0.240       [1,400,64]           values=[nan,-nan,-nan,-nan,nan,...]
ADD            0.237       [1,400,64]           values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.004       [1,20,20,64]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.078       [1,64,20,20]         values=[-65504,-65504,-65504,-65504,-65504,...]
IM2COL         0.242       [1,400,128]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.008       [64,128]             values=[-0.188,-0.230,0.0106,-0.279,0.1258,...]
MATMUL_ND      0.239       [1,400,64]           values=[nan,-nan,nan,-nan,nan,...]
ADD            0.229       [1,400,64]           values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.010       [1,20,20,64]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.102       [1,64,20,20]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.049       [1,64,20,20]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
SIGMOID        0.050       [1,64,20,20]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.025       [1,64,20,20]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MULTIPLY       0.020       [1,64,20,20]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.578       [1,400,576]          values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.046       [64,576]             values=[-0.053,-0.001,0.0042,-0.054,-0.084,...]
MATMUL_ND      0.744       [1,400,64]           values=[nan,nan,nan,-nan,nan,...]
ADD            0.228       [1,400,64]           values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.010       [1,20,20,64]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.140       [1,64,20,20]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.051       [1,64,20,20]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.019       [1,64,20,20]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.571       [1,400,576]          values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.050       [64,576]             values=[0.0770,0.0174,-0.062,0.0369,0.0548,...]
MATMUL_ND      0.756       [1,400,64]           values=[-nan,-nan,-nan,nan,-nan,...]
ADD            0.229       [1,400,64]           values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.010       [1,20,20,64]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.143       [1,64,20,20]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.054       [1,64,20,20]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.023       [1,64,20,20]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
ADD            0.023       [1,64,20,20]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.576       [1,400,576]          values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.050       [64,576]             values=[-0.006,-0.030,0.0238,0.0179,-0.010,...]
MATMUL_ND      0.752       [1,400,64]           values=[nan,nan,-nan,-nan,-nan,...]
ADD            0.228       [1,400,64]           values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.010       [1,20,20,64]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.145       [1,64,20,20]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.050       [1,64,20,20]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.024       [1,64,20,20]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.574       [1,400,576]          values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.049       [64,576]             values=[0.0124,0.0132,0.0233,-0.028,-0.032,...]
MATMUL_ND      0.766       [1,400,64]           values=[-nan,nan,-nan,nan,nan,...]
ADD            0.229       [1,400,64]           values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.010       [1,20,20,64]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.141       [1,64,20,20]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.053       [1,64,20,20]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.024       [1,64,20,20]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
ADD            0.021       [1,64,20,20]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.023       [1,128,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.298       [1,400,128]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.020       [128,128]            values=[-0.075,0.0147,-0.021,-0.027,-0.047,...]
MATMUL_ND      0.474       [1,400,128]          values=[-nan,-nan,-nan,-nan,-nan,...]
ADD            0.452       [1,400,128]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.027       [1,20,20,128]        values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.265       [1,128,20,20]        values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.067       [1,128,20,20]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.038       [1,128,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.058       [1,256,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.069       [1,384,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.914       [1,400,384]          values=[-0.000,-0.254,-0.000,-0.000,-0.000,...]
RESHAPE        0.104       [256,384]            values=[-0.011,-0.062,0.0369,-0.009,0.0678,...]
MATMUL_ND      2.157       [1,400,256]          values=[-nan,nan,-nan,nan,nan,...]
ADD            0.901       [1,400,256]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.047       [1,20,20,256]        values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.513       [1,256,20,20]        values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.096       [1,256,20,20]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.085       [1,256,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.559       [1,400,256]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.038       [128,256]            values=[0.0120,-0.153,0.0709,0.1349,-0.053,...]
MATMUL_ND      0.769       [1,400,128]          values=[-nan,nan,-nan,nan,-nan,...]
ADD            0.454       [1,400,128]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.022       [1,20,20,128]        values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.144       [1,128,20,20]        values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.069       [1,128,20,20]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
